Fold,Best_Epoch,AUC,AUPR,Accuracy,Precision,Recall,F1-score,Mcc
0,900,0.9100827477096721,0.9060591146158671,0.8349619978284474,0.836423118865867,0.8327904451682954,0.8346028291621328,0.6699303139883421
1,657,0.919173324562241,0.9160683837694463,0.8439196525515744,0.844106463878327,0.8436482084690554,0.8438772739614445,0.6878394064657711
2,752,0.9207448154327683,0.9176554441341394,0.8498506652185718,0.8606603245663123,0.8349619978284474,0.8476164232570956,0.7000160275887076
3,776,0.9167654540296692,0.9131291252465025,0.8376323649199022,0.8428886438809261,0.8300760043431054,0.8364332603938731,0.6753441174648709
4,839,0.9048654103273193,0.9001967476656642,0.8281292424653814,0.8308702791461412,0.8241042345276873,0.8274734260016353,0.6562809921232664
5,491,0.9205500421394452,0.9184964663580347,0.8422481672549552,0.8447238928376162,0.8387622149837134,0.8417324979569599,0.684513972869139
6,880,0.9113087054962931,0.9077574110457958,0.8419766494705403,0.8350186269292177,0.8522542096686584,0.8435483870967742,0.6841007114045291
7,628,0.9075230852797393,0.9004299499726448,0.8294868313874558,0.8290830168204015,0.8299837045084193,0.8295331161780674,0.6589741268448095
8,619,0.9166656345598889,0.9141377025559319,0.8430627206081999,0.8490878938640133,0.8343291689299294,0.8416438356164384,0.686227554290417
9,390,0.9158170953448446,0.9095200618038015,0.8379038827043171,0.8451720310765816,0.8272677892449756,0.8361240735657425,0.6759574876666125
Mean,,0.9143496314881883,0.9103450407167829,0.8389172174409344,0.8418034291865404,0.8348177977672286,0.8382585123190165,0.6779184710706465
Std,,0.005577441826824059,0.006681834916664502,0.006715150577633629,0.009376851620077524,0.008297046858714425,0.006534989264121053,0.01349419894280244
