Fold,Best_Epoch,AUC,AUPR,Accuracy,Precision,Recall,F1-score,Mcc
0,661,0.9089066373825363,0.9052556885198292,0.8281758957654723,0.8262277388019428,0.8311617806731814,0.8286874154262517,0.6563634952641716
1,707,0.9231704197274123,0.921346476722058,0.8504343105320304,0.8399157451290152,0.8659066232356135,0.8527131782945736,0.701204427579182
2,362,0.9159351978489716,0.9129240135963055,0.8387184360575618,0.8387622149837134,0.8387622149837134,0.8387622149837134,0.6774368483351528
3,867,0.9124587673342334,0.9070826986662285,0.8338311159380939,0.8394039735099338,0.8257328990228013,0.8325123152709359,0.6677522928635754
4,563,0.9058833624977221,0.9045936006719058,0.8294868313874558,0.8245989304812834,0.8371335504885994,0.8308189655172413,0.6590484180979663
5,656,0.9125515095003954,0.9053998322986094,0.8368178115666576,0.8302288451303885,0.8469055374592834,0.8384842784197797,0.6737698346742644
6,641,0.9067789362930617,0.903289118167664,0.8354602226445832,0.8325255788906839,0.8397609994568169,0.8361276365603029,0.6709465230113689
7,700,0.9094882165843634,0.905799298954242,0.8379038827043171,0.8417582417582418,0.8321564367191744,0.8369298006009287,0.675850685061179
8,467,0.919931957623465,0.9160639284065075,0.8444203095302742,0.8526140155728588,0.8326996197718631,0.8425391591096455,0.6890264962474828
9,392,0.9121298201598174,0.9024139700407852,0.8422481672549552,0.8354632587859425,0.8522542096686584,0.8437752083893519,0.6846362391323549
Mean,,0.9127234824951979,0.9084168626044133,0.8377496983381402,0.8361498543044004,0.8402473871479705,0.8381350172572726,0.6756035260266698
Std,,0.00556804308108365,0.006241793607573821,0.0067329451558627955,0.00826408308056617,0.011900888477817496,0.0070247582523699096,0.013546367695559041
