Fold,Best_Epoch,AUC,AUPR,Accuracy,Precision,Recall,F1-score,Mcc
0,233,0.9637266191528431,0.964329852484011,0.903353057199211,0.9051383399209486,0.9015748031496063,0.903353057199211,0.8067131430705549
1,122,0.9527714668077557,0.9574057424531289,0.8717948717948718,0.8461538461538461,0.9094488188976378,0.8766603415559773,0.7456488022912994
2,119,0.9678659238741402,0.9699305101684186,0.8994082840236687,0.8884615384615384,0.9130434782608695,0.9005847953216374,0.7991314385350285
3,189,0.9710015250070025,0.9655464356640062,0.903353057199211,0.8805970149253731,0.932806324110672,0.9059500959692899,0.8081436076716468
4,998,0.9656142105016482,0.9678629594809671,0.9169960474308301,0.9203187250996016,0.9130434782608695,0.9166666666666666,0.8340181546715237
5,193,0.9647627677357871,0.9678197987533104,0.8992094861660079,0.8914728682170543,0.9090909090909091,0.9001956947162426,0.7985749372993248
6,135,0.9711290599759409,0.9758295467952532,0.9011857707509882,0.8830188679245283,0.924901185770751,0.9034749034749034,0.8032756082507524
7,297,0.9613804308769079,0.9632834191163282,0.8932806324110671,0.896414342629482,0.8893280632411067,0.8928571428571429,0.7865858425575034
8,138,0.9666765611085941,0.9701522555191373,0.8972332015810277,0.8850574712643678,0.9130434782608695,0.8988326848249028,0.7948638786000826
9,206,0.9706291302785545,0.9749084461464437,0.9090909090909091,0.8935361216730038,0.9288537549407114,0.9108527131782945,0.81882168268524
Mean,,0.9655557695319175,0.9677068966581004,0.8994905317647792,0.8890169136269744,0.9135134293984002,0.9009428095764269,0.7995777095632957
Std,,0.005556774669101597,0.005482842433465301,0.0117478891070883,0.019093280151159346,0.01291608561616842,0.010764627371751795,0.023081928470978782
