Fold,Best_Epoch,AUC,AUPR,Accuracy,Precision,Recall,F1-score,Mcc
0,278,0.9614857925368024,0.9636223918621726,0.8895463510848126,0.8639705882352942,0.9251968503937008,0.8935361216730038,0.7810328777875444
1,321,0.9437536958077869,0.9457753949805302,0.8698224852071006,0.8333333333333334,0.9251968503937008,0.8768656716417911,0.7441424527597346
2,131,0.967819239986306,0.9731191904276963,0.9072978303747534,0.8992248062015504,0.9169960474308301,0.9080234833659491,0.8147606398872446
3,199,0.9610189536584607,0.9562188990849706,0.8954635108481263,0.8731343283582089,0.924901185770751,0.8982725527831094,0.7923386080925107
4,245,0.964192535424706,0.9645036277977993,0.8972332015810277,0.8850574712643678,0.9130434782608695,0.8988326848249028,0.7948638786000826
5,208,0.9696683278913902,0.9689862672006196,0.9150197628458498,0.8977272727272727,0.9367588932806324,0.9168278529980658,0.8308251761521942
6,266,0.9775344092237028,0.9795976777207887,0.9169960474308301,0.9137254901960784,0.9209486166007905,0.9173228346456693,0.8340181546715237
7,102,0.9531628364761205,0.9520234203905088,0.8794466403162056,0.8809523809523809,0.8774703557312253,0.8792079207920792,0.7588992087219983
8,119,0.9678951397459732,0.9714441188667585,0.9011857707509882,0.8830188679245283,0.924901185770751,0.9034749034749034,0.8032756082507524
9,181,0.9667781093283758,0.9692476700548247,0.9051383399209486,0.8838951310861424,0.932806324110672,0.9076923076923077,0.8115200978578864
Mean,,0.9633309040079624,0.964453865838667,0.8977149940360644,0.8814039670279158,0.9198219787743923,0.9000056333891783,0.7965676702781471
Std,,0.009374384553680339,0.010374752994212555,0.014959017999504698,0.021944816517373796,0.01637644215338338,0.0138745005293761,0.029069084827195838
