Fold,Best_Epoch,AUC,AUPR,Accuracy,Precision,Recall,F1-score,Mcc
0,285,0.9550371240852519,0.9570115803802712,0.8940568475452196,0.8805970149253731,0.9123711340206185,0.8962025316455696,0.7886087630977758
1,323,0.938518241546926,0.9525922730115002,0.8682170542635659,0.8522167487684729,0.8917525773195877,0.871536523929471,0.7371987046873675
2,154,0.956359168847818,0.9607467447040101,0.8785529715762274,0.855072463768116,0.9123711340206185,0.8827930174563591,0.7587771174385124
3,149,0.9581886651354095,0.957557601534631,0.8914728682170543,0.8756218905472637,0.9119170984455959,0.8934010152284264,0.7836373606257817
4,200,0.9531942738101598,0.9482778102236946,0.8992248062015504,0.8928571428571429,0.9067357512953368,0.8997429305912596,0.7985523143241648
5,149,0.9563858768228193,0.9570685363123801,0.8708010335917312,0.8704663212435233,0.8704663212435233,0.8704663212435233,0.74160034186208
6,200,0.9531128352438991,0.9542330250373773,0.8678756476683938,0.8514851485148515,0.8911917098445595,0.8708860759493671,0.7365525682198004
7,694,0.9631399500657736,0.9691305446291183,0.9015544041450777,0.918918918918919,0.8808290155440415,0.8994708994708994,0.8037996361339552
8,249,0.9670058256597492,0.9623544452942805,0.8860103626943006,0.8564593301435407,0.927461139896373,0.8905472636815921,0.7746873996227917
9,112,0.9475690622567049,0.9549771681183127,0.8678756476683938,0.8413461538461539,0.9067357512953368,0.8728179551122195,0.7379835405593814
Mean,,0.9548511023474511,0.9573949729245577,0.8825641643571513,0.8695041133533357,0.9011831632925592,0.8847864534308687,0.7661397746571611
Std,,0.007872618688595245,0.005733591650588635,0.013553739845409633,0.023436529259743218,0.017205729256307648,0.012463812805416103,0.02690533829827025
