Fold,Best_Epoch,AUC,AUPR,Accuracy,Precision,Recall,F1-score,Mcc
0,125,0.9672026066983601,0.9671921029033843,0.917312661498708,0.9132653061224489,0.9226804123711341,0.9179487179487179,0.8346643900831464
1,142,0.9456492708722825,0.9553809166214994,0.8501291989664083,0.8366336633663366,0.8711340206185567,0.8535353535353535,0.7008237218806964
2,101,0.9611666043480583,0.9645789586557044,0.8811369509043928,0.8557692307692307,0.9175257731958762,0.8855721393034826,0.764231535278784
3,116,0.9628224987981411,0.9642036473543221,0.896640826873385,0.900523560209424,0.8911917098445595,0.8958333333333334,0.7933171317437208
4,115,0.9502697505475135,0.9512308470402236,0.8682170542635659,0.8413461538461539,0.9067357512953368,0.8728179551122195,0.7387071554820264
5,161,0.9513113615725655,0.9521411592382614,0.8811369509043928,0.8769230769230769,0.8860103626943006,0.8814432989690721,0.7623193827670275
6,104,0.9574753684662675,0.9593414906023321,0.8860103626943006,0.8497652582159625,0.9378238341968912,0.8916256157635468,0.7761996009472905
7,183,0.9550591962200328,0.9649180257021722,0.883419689119171,0.8854166666666666,0.8808290155440415,0.8831168831168831,0.7668496718679524
8,159,0.9616499771805954,0.9633317729199943,0.8886010362694301,0.8537735849056604,0.9378238341968912,0.8938271604938272,0.7809958109579701
9,80,0.9388171494536767,0.9449309456650472,0.8523316062176166,0.8434343434343434,0.8652849740932642,0.8542199488491049,0.7048998020472727
Mean,,0.9551423784157492,0.9587249866702943,0.880493633771137,0.8656850844459303,0.9017039688050852,0.882994040642554,0.7623008203055887
Std,,0.00871508679646289,0.007430420516706314,0.019965914110122635,0.026704842731521194,0.02662157501923896,0.019399081539582273,0.0399952333104953
