drug_idx,disease_idx,drug_fp_score,dis_ps_score,gip_drug_score,gip_dis_score,combined_score
565,404,0.1589,0.9078,0.5075,0.4459,0.4471
557,404,0.1559,0.9078,0.5075,0.4459,0.4456
463,377,0.1672,0.8666,0.3509,0.2304,0.4017
435,377,0.1665,0.8666,0.3509,0.2304,0.4013
434,377,0.1663,0.8666,0.3509,0.2304,0.4012
295,377,0.1095,0.893,0.4559,0.2612,0.3944
527,318,0.1733,0.5926,0.4249,0.8508,0.392
463,380,0.1672,0.8118,0.3509,0.2304,0.3853
435,380,0.1665,0.8118,0.3509,0.2304,0.3849
434,380,0.1663,0.8118,0.3509,0.2304,0.3848
295,380,0.1095,0.8543,0.4559,0.2612,0.3827
234,349,0.1326,0.5635,0.7696,0.6159,0.3739
463,381,0.1672,0.7607,0.3509,0.2304,0.37
435,381,0.1665,0.7607,0.3509,0.2304,0.3696
434,381,0.1663,0.7607,0.3509,0.2304,0.3695
527,40,0.1733,0.5107,0.4249,0.8508,0.3674
295,381,0.1095,0.8026,0.4559,0.2612,0.3672
515,83,0.1268,0.7378,0.4978,0.3228,0.3668
234,72,0.1364,0.5631,0.4559,0.7239,0.3551
447,80,0.15,0.6686,0.4583,0.3228,0.3537
507,82,0.1332,0.5827,0.5923,0.5022,0.3508
280,82,0.1278,0.5827,0.5923,0.5022,0.3482
351,51,0.1536,0.6571,0.2078,0.4981,0.3445
481,27,0.1338,0.5165,0.5379,0.6159,0.3372
539,68,0.1267,0.6265,0.3842,0.4459,0.3343
447,82,0.1303,0.5379,0.4559,0.6159,0.3337
527,41,0.1733,0.3791,0.4249,0.8508,0.328
124,345,0.1595,0.5986,0.3545,0.3228,0.3271
413,51,0.1236,0.6571,0.2078,0.4637,0.3261
515,79,0.1268,0.5994,0.4978,0.3228,0.3253
569,273,0.1712,0.4728,0.2698,0.7015,0.3246
234,250,0.1364,0.4486,0.4559,0.7239,0.3208
515,82,0.1125,0.6721,0.3509,0.2746,0.3204
507,91,0.1332,0.4737,0.5923,0.5022,0.3181
280,91,0.1278,0.4737,0.5923,0.5022,0.3155
220,360,0.1976,0.3354,0.4827,0.6159,0.3093
256,359,0.1123,0.4944,0.3178,0.7239,0.3087
4,263,0.1211,0.4231,0.5923,0.6159,0.3083
447,91,0.1303,0.4413,0.4559,0.6159,0.3047
55,82,0.1241,0.6243,0.27,0.2746,0.3038
256,358,0.1123,0.4712,0.3178,0.7239,0.3017
256,362,0.1123,0.4685,0.3178,0.7239,0.3009
15,137,0.1164,0.4231,0.5241,0.6159,0.2991
351,52,0.1536,0.5035,0.2078,0.4981,0.2985
4,170,0.109,0.4312,0.5923,0.5241,0.2955
487,83,0.139,0.5191,0.3832,0.2987,0.2934
638,263,0.1017,0.4047,0.5923,0.6159,0.2931
647,26,0.2179,0.3098,0.5923,0.2987,0.291
539,334,0.1267,0.3817,0.4063,0.7239,0.2909
249,204,0.1308,0.3925,0.3509,0.7239,0.2906
619,363,0.1386,0.3413,0.4559,0.7239,0.2897
638,137,0.1092,0.4312,0.5241,0.5241,0.2888
351,53,0.1536,0.4644,0.2078,0.4981,0.2867
249,241,0.1386,0.3278,0.4559,0.7239,0.2856
55,83,0.1407,0.506,0.3832,0.246,0.2851
77,399,0.196,0.3942,0.4237,0.2509,0.2837
371,285,0.1037,0.482,0.5923,0.2746,0.2831
642,345,0.1995,0.3885,0.2816,0.3794,0.2824
272,83,0.1168,0.5191,0.3832,0.2987,0.2823
64,46,0.1755,0.3582,0.5923,0.2763,0.2821
619,194,0.1386,0.3143,0.4559,0.7239,0.2816
220,26,0.2137,0.3365,0.4559,0.2746,0.2809
515,91,0.1125,0.5385,0.3509,0.2746,0.2803
413,52,0.1236,0.5035,0.2078,0.4637,0.28
619,286,0.1241,0.3319,0.4559,0.7239,0.2796
427,297,0.1417,0.2292,0.6995,0.6875,0.2783
220,367,0.2128,0.2974,0.5923,0.2337,0.2782
641,345,0.1906,0.3885,0.2816,0.3794,0.278
