Dataset       : C-dataset
Tổng âm tính  : 268,636
Cặp nghi vấn  : 3,276  (1.22% âm tính)
Threshold drug: 0.1 (Tanimoto fingerprint)
Threshold dis : 0.05 (cosine DiseasePS)
GIP confirm   : 0.2

Top 20 cặp nghi vấn nhất:
 drug_idx  disease_idx  drug_fp_score  dis_ps_score  gip_drug_score  gip_dis_score  combined_score
      565          404         0.1589        0.9078          0.5075         0.4459          0.4471
      557          404         0.1559        0.9078          0.5075         0.4459          0.4456
      463          377         0.1672        0.8666          0.3509         0.2304          0.4017
      435          377         0.1665        0.8666          0.3509         0.2304          0.4013
      434          377         0.1663        0.8666          0.3509         0.2304          0.4012
      295          377         0.1095        0.8930          0.4559         0.2612          0.3944
      527          318         0.1733        0.5926          0.4249         0.8508          0.3920
      463          380         0.1672        0.8118          0.3509         0.2304          0.3853
      435          380         0.1665        0.8118          0.3509         0.2304          0.3849
      434          380         0.1663        0.8118          0.3509         0.2304          0.3848
      295          380         0.1095        0.8543          0.4559         0.2612          0.3827
      234          349         0.1326        0.5635          0.7696         0.6159          0.3739
      463          381         0.1672        0.7607          0.3509         0.2304          0.3700
      435          381         0.1665        0.7607          0.3509         0.2304          0.3696
      434          381         0.1663        0.7607          0.3509         0.2304          0.3695
      527           40         0.1733        0.5107          0.4249         0.8508          0.3674
      295          381         0.1095        0.8026          0.4559         0.2612          0.3672
      515           83         0.1268        0.7378          0.4978         0.3228          0.3668
      234           72         0.1364        0.5631          0.4559         0.7239          0.3551
      447           80         0.1500        0.6686          0.4583         0.3228          0.3537
